Userid,Degree 1,Degree 1 Specializations,Known Languages,Key Skills,Career Objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,B.E.,Computer Science & Engineering,Hindi English,NA,Organized and motivated fresher with excellent communication skills seeking to leverage my talent and prove to be a valuable asset to the organization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,B.E.,Computer Science & Engineering,"English, Hindi, Marathi",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,B.E.,Computer Science & Engineering,"English, Marathi, Hindi",Software Development; Data Analysis; Data Visualization; Machine Learning; Game Devlopment; UI Development; Web Development,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,B.E.,Computer Science & Engineering,"English,Hindi,Marathi",C; Java; Python; HTML; SQL; CPP; CSS,To enrich my knowledge through learning  and to utilize my technical skills for development of the organization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,B.E.,Computer Science & Engineering,"English, Hindi, Marathi",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,B.E.,Computer Science & Engineering,"English, Marathi, Hindi",C; Java; Python; Javascript; cpp; HTML; Html5; MySQL; Oracle; PHP; CSS,"Secure a responsible career opportunity to fully utilize my training and skills, while making a significant contribution to the success of the company.To secure a challenging position in a reputable organization to expand my learnings, knowledge, and skills.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,B.E.,Computer Science & Engineering,"English,Marathi,Hindi",XML; C; Java; Python; Javascript; cpp; Html5; MySQL; Android; CSS,To be associated with an organization that provides me an opportunity to grow by acquiring new skills and thus contributing towards the development of the organization and myself.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,B.E.,Computer Science & Engineering,"Marathi,Hindi,English",java; cpp; firebase; MySQL; Android; Web Development,Interested in working with team and to develop projects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,B.E.,Computer Science & Engineering,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,B.E.,Computer Science & Engineering,"English, Hindi, Marathi",NLP; C; Java; Python; Time Series Forecasting; Machine Learning; Problem Analysis; CPP; Numpy; Pandas,I like solving challenging problems and learn newer things. I look forward to find that platform where I can display and enhance my skills!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,B.E.,Computer Science & Engineering,"English, Hindi, Marathi",C; Advanced Java; Javascript; cpp; CSS; Core Java; Android; Web Development,"Looking for a challenging role in a reputable organization to utilize my technical, database, and management skills for the growth of the organization as well as to enhance my knowledge about new and emerging trends in the IT sector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,B.E.,Computer Science & Engineering,"Marathi, Hindi, English",C; Java; Advanced Java; cpp; HTML; AngularJS; PHP,"In quest of challenging opportunities wherein I can use and enhance my innovative , problem-solving skills and evolve with a leading organisation of repute. Computer engineering graduate with an emphasis in Software development and Database security.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,B.E.,Computer Science & Engineering,"Gujrati
Hindi
English
Marathi",DBMS; Javascript; cpp; Html5; ANDRIOD; MySQL,TO BE ASSOCIATED WITH ORGANISATION THAT PROVIDE ME OPPORTUNITY TO GROW BY ACQUIRING NEW SKILLS AND THUS CONTRIBUTING TOWARDS THE DEVELOPMENT OF ORGANISATION AND MYSELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,B.E.,Computer Science & Engineering,"Marathi.(R,W,S)
Hindi. (R,W,S)
English.(R,W,S)",C; Java; HTML; Data Visualization; R; Talend; CPP,To achieving an opportunity in a Reputed organization to accomplishes the carrier goals and objective and for gaining the Industrial knowledge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,B.E.,Computer Science & Engineering,NA,Java; Advanced Java; Python; Javascript; Data Structures; HTML; MySQL; CPP; Android,To build a career in a leading corporate with a healthy environment to explore myself and learn on each and every stage of my life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,B.E.,Computer Science & Engineering,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,B.E.,Computer Science & Engineering,"English, Hindi, Marathi",Data Structures; Machine Learning; Programming; Algorithm; Linux,"A skilled and knowledgeable computer science student with extensive knowledge of programming and computer applications. Also, detail-oriented and organized professional with a creative mindset and strong project management abilities. Looking for an opportunity in the field of information technology as a software developer in a renowned organization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,B.E.,Computer Science & Engineering,"English,Hindi,Marathi",Database; HTML; Java; Object-Oriented Programming; MySQL,To obtain a challenging in a high quality engineering environment where my resourceful academic skills will add value to organizational operations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,B.E.,Computer Science & Engineering,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,B.E.,Computer Science & Engineering,"Marathi,  Hindi,  English",Arduino; Javascript; HTML; Core Java; MySQL; CPP,To excel in my field by extreme hard work and earn a job in an organization which encourages and adapt change and grow with time so that I can achieve my own as well as organisational goals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,B.E.,Computer Science & Engineering,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,B.E.,Computer Science & Engineering,English  Hindi  Marathi  Sindhi,C; R; HTML; cpp; SQL,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,B.E.,Computer Science & Engineering,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,B.E.,Computer Science & Engineering,"English, Hindi, Marathi",Java; Advanced Java; HTML; Wordpress; OOPs; MySQL; CPP; CSS,"To work in highly motivational environment where I can utilize my skills to the best of my abilities, in order to meet organizational goals with continuous learning and updated knowledge.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,B.E.,Computer Science & Engineering,"English ,Hindi,Marathi",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,B.E.,Computer Science & Engineering,"English, Hindi, Marathi",Mathematics; Leadership; Team management,"To obtain an entry-level position in a company, allowing me to utilize my education and experience gained through extra curricular activities while gaining valuable work experience in a team oriented environment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,B.E.,Computer Science & Engineering,"Marathi,Hindi,English",CPP; Public Speaking; DBMS; Web Development,"To secure a challenging position in a reputable organisation to expand mt learnings,knowledge and skills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,B.E.,Computer Science & Engineering,"English, Hindi, Marathi, Spanish",JDBC; Java; Drupal; Wordpress; MySQL; PHP; Web Development,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,B.E.,Computer Science & Engineering,"Marathi, Hindi, English, Japanese(N5 level)",C; Python; cpp; Data Structures; HTML; MySQL; PHP; CSS,"To enhance my professional/practical skill, business efficiencies career in a renowned firm with dedicated efforts and to associate myself with an organization that gives me a chance to update my knowledge.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,B.E.,Computer Science & Engineering,"English ,Hindi ,Marathi",C; Java; Python; MongoDB; MySQL; CPP; HTML; SQL; Oracle; PHP; CSS,"Intend to build a progressive career with the progress of my company as well. My short term goal is to be a part of an organisation
whereby I will be able to improve my skills even more and to pursue all the new technologies going on in the IT market whereas my long term goal is to be the role model of myself which I always expected and to be an independent woman.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,B.E.,Computer Science & Engineering,"Hindi,English",JQuery; Analytical Skills; C; Data Analysis; Java; Python; Javascript; Excel; Creative; HTML; Html5; Adobe Photoshop; Linux; CPP; Powerpoint; CSS,To pursue a challenging career and be a part of progressive organization that gives a scope to enhance my knowledge and utilizing my skills towards the growth of the organization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,B.E.,Computer Science & Engineering,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,B.E.,Computer Science & Engineering,"English, Hindi, Marathi",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,B.E.,Computer Science & Engineering,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,B.E.,Computer Science & Engineering,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,B.E.,Computer Science & Engineering,"English, Hindi",Python; cpp; Machine Learning; Data Structures; Firebase; Algorithms; Problem solving; MySQL; Oracle; Artificial Intelligence,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,B.E.,Computer Science & Engineering,"English, Hindi, Marathi","CommunicationSkills; Decisionmakingskills; Creativity.; Quick
learner; FlexibilityandAdaptability; Stresstolerance",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,B.E.,Computer Science & Engineering,"English,Marathi,Hindi",C; Core Java; Advanced Java; DataBase; HTML; Object-Oriented Programming; MySQL,"To continously enhance my knowledge, skills and experience by getting involved in the challenging work environment and utilize them for personal and organizational growth to the best of my ability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,B.E.,Computer Science & Engineering,"Marathi, English, Hindi",C; MongoDB; Javascript; cpp; HTML; OOPs; Core Java; MySQL; PHP; CSS,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,B.E.,Computer Science & Engineering,NA,Android; Java; C; Problem-Solving using cpp; MySQL,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,B.E.,Computer Science & Engineering,"English,Hindi,Marathi",C#; c; java; OOPs,"To Secure Challenging Position in a Reputable Organization to Expand  My Learning, Knowledge and skill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,B.E.,Computer Science & Engineering,NA,Python; HTML; Java; cpp; MySQL,"To secure a position in an established organisation that will allow me to fully utilize my abilities, skills, and knowledge, bringing the organisation and me ""one step forward"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,B.E.,Computer Science & Engineering,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,B.E.,Computer Science & Engineering,"English , Hindi, Marathi",IOT; Machine Learning; Java (Basic); cpp; Python (Basic),Secure a responsible career opportunity to make use of my interpersonal skills to achieve goals of a company that focuses on customer satisfaction and customer experience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,B.E.,Computer Science & Engineering,"English, German, Marathi, Hindi,",XML; C; Object-Oriented Programming; Python; MongoDB; PL/SQL; Oracle; HTML; Core Java; MySQL; CPP; PHP,"An excellent academic record, ability to understand fundamentals of various technologies, working knowledge of some of the most basic programming languages, and a strong understanding of core internet technologies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,B.E.,Computer Science & Engineering,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,B.E.,Computer Science & Engineering,English and Hindi,"Core java, html, JavaScript,php",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,B.E.,Computer Science & Engineering,NA,C; Javascript; cpp; Data Structures; Algorithms; Core Java; MySQL,To make a deep impact into your company in every possible way and to give 100 % from my side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,B.E.,Computer Science & Engineering,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,B.E.,Computer Science & Engineering,"Marathi,Hindi,English,German",C; Java; Database; Advanced Java; Javascript; cpp; Data Structures; HTML; JSP; SQL; Microprocessors; PHP; CSS,"To work in a firm with a professional work driven environment where I can utilize and apply my knowledge, skills which would enable me as a fresh graduate to grow while fulfilling organizational goals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,B.E.,Computer Science & Engineering,"English, Hindi, Marathi",DBMS; Data Analysis; Data Visualization; Python; C; cpp; Core Java,"I would like to progress my career in the field of data science. Extracting data, spotting patterns and projecting trajectories has always been an area of interest for me. Looking at the inclination towards data science,  I wish to become a data analyst or data scientist.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,B.E.,Computer Science & Engineering,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
