Sr ,Degree 1,Degree 1 SpeCializations,Campus,Key Skills
1001,B E ,Mechanical,MITCOE,CATIA
1002,B E ,Mechanical,MITCOE,CATIA
1003,B E ,Mechanical,MITAOE,CATIA
1004,B E ,Mechanical,MITCOE,CATIA
1005,B E ,Mechanical,MITCOE,CATIA
1006,B E ,Mechanical,MITCOE,CATIA
1007,B E ,Mechanical,MITAOE,CATIA
1008,B E ,Mechanical,MITCOE,CATIA
1009,B E ,Mechanical,MITCOE,CATIA
1010,B E ,Mechanical,MITCOE,CATIA
1011,B E ,Mechanical,MITAOE,CATIA
1012,B E ,Mechanical,MITAOE,AUTOCAD
1013,B E ,Mechanical,MITAOE,"CAD,CAM"
1014,B E ,Mechanical,MITAOE,AUTOCAD
1015,B E ,Mechanical,MITAOE,AUTOCAD
1016,B E ,Mechanical,MITAOE,"CAD,CAM"
1017,B E ,Mechanical,MITAOE,AUTOCAD
1018,B E ,Mechanical,MITCOE,AUTOCAD
1019,B E ,Mechanical,MITCOE,AUTOCAD
1020,B E ,Mechanical,MITCOE,"CAD,CAM"
1021,B E ,Mechanical,MITAOE,CATIA
1022,B E ,Mechanical,MITCOE,CATIA
1023,B E ,Mechanical,MITAOE,"CAD,CAM"
1024,B E ,Mechanical,MITCOE,"CAD,CAM"
1025,B E ,Mechanical,MITAOE,"CAD,CAM"
1026,B E ,Mechanical,MITCOE,AUTOCAD
1027,B E ,Mechanical,MITCOE,"ProE,CATIA"
1028,B E ,Mechanical,MITCOE,"ProE,CATIA"
1029,B E ,Mechanical,MITCOE,"ProE,CATIA"
1030,B E ,Mechanical,MITCOE,"ProE,CATIA"
1031,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1032,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1033,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1034,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1035,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1036,B E ,Mechanical,MITCOE,AUTOCAD
1037,B E ,Mechanical,MITCOE,"ProE,CATIA"
1038,B E ,Mechanical,MITAOE,"ProE,CATIA"
1039,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1040,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1041,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1042,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1043,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1044,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1045,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1046,B E ,Mechanical,MITAOE,CATIA
1047,B E ,Mechanical,MITCOE,CATIA
1048,B E ,Mechanical,MITCOE,AUTOCAD
1049,B E ,Mechanical,MITCOE,AUTOCAD
1050,B E ,Mechanical,MITCOE,AUTOCAD
1051,B E ,Mechanical,MITCOE,CATIA
1052,B E ,Mechanical,MITCOE,CATIA
1053,B E ,Mechanical,MITAOE,CATIA
1054,B E ,Mechanical,MITAOE,"CAD,CAM"
1055,B E ,Mechanical,MITAOE,"CAD,CAM"
1056,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1057,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1058,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1059,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1060,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1061,B E ,Mechanical,MITAOE,"CAD,CAM"
1062,B E ,Mechanical,MITAOE,"CAD,CAM"
1063,B E ,Mechanical,MITCOE,"CAD,CAM"
1064,B E ,Mechanical,MITCOE,AUTOCAD
1065,B E ,Mechanical,MITCOE,"CAD,CAM"
1066,B E ,Mechanical,MITCOE,AUTOCAD
1067,B E ,Mechanical,MITCOE,"ProE,CATIA"
1068,B E ,Mechanical,MITCOE,"ProE,CATIA"
1069,B E ,Mechanical,MITCOE,"ProE,CATIA"
1070,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1071,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1072,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1073,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1074,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1075,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1076,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1077,B E ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO"
1078,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1079,B E ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO"
1080,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1081,B E ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO"
1082,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1083,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1084,B E ,Electronics  Telecommunication Engineering,MITAOE,"C,JAVA"
1085,B E ,Electronics  Telecommunication Engineering,MITAOE,"C,JAVA"
1086,B E ,Mechanical,MITCOE,AUTOCAD
1087,B E ,Mechanical,MITCOE,AUTOCAD
1088,B E ,Mechanical,MITAOE,"ProE,CATIA"
1089,B E ,Mechanical,MITCOE,"ProE,CATIA"
1090,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1091,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1092,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1093,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1094,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1095,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1096,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1097,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1098,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1099,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
