Sr ,Degree 1,Degree 1 SpeCializations,Campus,Key Skills
1100,B E ,Electronics  Telecommunication Engineering,MITCOE,"C,JAVA"
1101,B E ,Electronics  Telecommunication Engineering,MITCOE,"C,JAVA"
1102,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","C,JAVA"
1103,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","C,JAVA"
1104,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","C,JAVA"
1105,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"C,JAVA"
1106,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1107,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1108,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1109,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1110,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1111,B E ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO"
1112,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1113,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1114,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1115,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1116,B E ,Electronics  Telecommunication Engineering,MITAOE,"C,JAVA"
1117,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"C,PCB design"
1118,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1119,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1120,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1121,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1122,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1123,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1124,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1125,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1126,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1127,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1128,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1129,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1130,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1131,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1132,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1133,B E ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO"
1134,B E ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO"
1135,B E ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO"
1136,B E ,Electronics  Telecommunication Engineering,MITAOE,"C,PCB design"
1137,B E ,Electronics  Telecommunication Engineering,MITAOE,"C,PCB design"
1138,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","C,PCB design"
1139,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"C,PCB design"
1140,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1141,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1142,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1143,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1144,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1145,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1146,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1147,B E ,Electronics  Telecommunication Engineering,MITAOE,"EmbeddedC, MATLAB, C "
1148,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1149,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1150,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1151,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1152,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1153,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1154,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1155,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1156,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1157,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1158,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1159,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","EmbeddedC, MATLAB, C "
1160,B E ,Computer Science  Engineering,MITAOE,"CPPProgramming, Core JAVA, CProgramming, MySql"
1161,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1162,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1163,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1164,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1165,B E ,Electronics  Telecommunication Engineering,MITAOE,"C,JAVA"
1166,B E ,Civil Engineering,MITCOE,"MSCIT, Leadership, AUTOCAD"
1167,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","C,JAVA"
1168,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","C,JAVA"
1169,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","C,JAVA"
1170,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"C,JAVA"
1171,B E ,Computer Science  Engineering,MITAOE,"CPPProgramming, Core JAVA, CProgramming, MySql"
1172,B E ,Electronics  Telecommunication Engineering,MITCOE,"EmbeddedC, MATLAB, Cprogramming, Keil"
1173,B E ,Electronics  Telecommunication Engineering,MITCOE,"EmbeddedC, MATLAB, Cprogramming, Keil"
1174,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"EmbeddedC, MATLAB, Cprogramming, Keil"
1175,B E ,Computer Science  Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS"
1176,B E ,Electronics  Telecommunication Engineering,MITAOE,"C,PCB design"
1177,B E ,Electronics  Telecommunication Engineering,MITAOE,"C,PCB design"
1178,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","C,PCB design"
1179,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"C,PCB design"
1180,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1181,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1182,B E ,Electronics  Telecommunication Engineering,MITAOE,"EmbeddedC, MATLAB, C "
1183,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1184,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1185,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1186,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1187,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1188,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1189,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1190,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1191,B E ,Electronics  Telecommunication Engineering,MITAOE,"C,PCB design"
1192,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"C,PCB design"
1193,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1194,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1195,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1196,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1197,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1198,B E ,Electronics  Telecommunication Engineering,MITAOE,"EmbeddedC, MATLAB, C "
1199,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1200,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1201,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"EmbeddedC, MATLAB, Cprogramming, Keil"
1202,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"EmbeddedC, MATLAB, Cprogramming, Keil"
1203,B E ,Computer Science  Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS"
1204,B E ,Computer Science  Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS"
1205,B E ,Computer Science  Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS"
1206,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1207,B E ,Computer Science  Engineering,MITAOE,"CPPProgramming, Core JAVA, CProgramming, MySql"
1208,B E ,Computer Science  Engineering,MITAOE,"CPPProgramming, Core JAVA, CProgramming, MySql"
1209,B E ,Computer Science  Engineering,MITCOE,"CPPProgramming, Core JAVA, CProgramming, MySql"
1210,B E ,Electronics  Telecommunication Engineering,MITAOE,"EmbeddedC, MATLAB, Cprogramming, Keil"
1211,B E ,Computer Science  Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1212,B E ,Computer Science  Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL"
1213,B E ,Electronics  Telecommunication Engineering,MITAOE,"EmbeddedC, MATLAB, Cprogramming, Keil"
1214,B E ,Electronics  Telecommunication Engineering,MITAOE,"EmbeddedC, MATLAB, Cprogramming, Keil"
1215,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","EmbeddedC, MATLAB, Cprogramming, Keil"
1216,B E ,Computer Science  Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS"
1217,B E ,Electronics  Telecommunication Engineering,MITAOE,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1218,B E ,Electronics  Telecommunication Engineering,MITCOE,"EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL"
1219,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1220,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1221,B E ,Electronics  Telecommunication Engineering,MITAOE,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1222,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1223,B E ,Electronics  Telecommunication Engineering,MITCOE,"EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL"
1224,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1225,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1226,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","EmbeddedC, MATLAB, Cprogramming, Keil"
1227,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","EmbeddedC, MATLAB, Cprogramming, Keil"
1228,B E ,Computer Science  Engineering,MITAOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS"
1229,B E ,Electronics  Telecommunication Engineering,MITAOE,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1230,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1231,B E ,Electronics  Telecommunication Engineering,MITCOE,"EmbeddedC, MATLAB, Cprogramming, Keil"
1232,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","EmbeddedC, MATLAB, Cprogramming, Keil"
1233,B E ,Computer Science  Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS"
1234,B E ,Electronics  Telecommunication Engineering,MITAOE,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1235,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1236,B E ,Electronics  Telecommunication Engineering,MITAOE,"EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL"
1237,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1238,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1239,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL"
1240,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1241,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL"
1242,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
1243,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows"
1244,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows"
1245,B E ,Mechanical,MITAOE,CATIA
1246,B E ,Mechanical,MITCOE,CATIA
1247,B E ,Mechanical,MITAOE,"CAD,CAM"
1248,B E ,Mechanical,MITCOE,"CAD,CAM"
1249,B E ,Mechanical,MITCOE,"CAD,CAM"
1250,B E ,Mechanical,MITCOE,"ProE,CATIA"
1251,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL"
1252,B E ,Electronics  Telecommunication Engineering,MITCOE,"LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows"
1253,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows"
1254,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows"
1255,B E ,Mechanical,MITCOE,CATIA
1256,B E ,Mechanical,MITAOE,"ProE,CATIA"
1257,B E ,Mechanical,MITAOE,"ProE,CATIA"
1258,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1259,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1260,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1261,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1262,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1263,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1264,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1265,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1266,B E ,Mechanical,MITAOE,"CAD,CAM"
1267,B E ,Mechanical,MITCOE,"CAD,CAM"
1268,B E ,Mechanical,MITCOE,"CAD,CAM"
1269,B E ,Mechanical,MITAOE,AUTOCAD
1270,B E ,Mechanical,MITAOE,AUTOCAD
1271,B E ,Mechanical,MITCOE,AUTOCAD
1272,B E ,Mechanical,MITAOE,"CAD,CAM"
1273,B E ,Mechanical,MITAOE,AUTOCAD
1274,B E ,Mechanical,MITCOE,"CAD,CAM"
1275,B E ,Mechanical,MITCOE,"CAD,CAM"
1276,B E ,Mechanical,MITCOE,AUTOCAD
1277,B E ,Mechanical,MITCOE,AUTOCAD
1278,B E ,Mechanical,MITCOE,"ProE,CATIA"
1279,B E ,Mechanical,MITCOE,"ProE,CATIA"
1280,B E ,Mechanical,MITCOE,"ProE,CATIA"
1281,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL"
1282,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL"
1283,B E ,Electronics  Telecommunication Engineering,"MIT,Pune","LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, COE"
1284,B E ,Electronics  Telecommunication Engineering,MITAOE,"LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows"
1285,B E ,Mechanical,MITAOE,CATIA
1286,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1287,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1288,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1289,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1290,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1291,B E ,Mechanical,MITCOE,CATIA
1292,B E ,Mechanical,MITCOE,"CAD,CAM"
1293,B E ,Mechanical,MITCOE,"CAD,CAM"
1294,B E ,Mechanical,MITCOE,AUTOCAD
1295,B E ,Mechanical,MITCOE,AUTOCAD
1296,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1297,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1298,B E ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO"
1299,B E ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO"
1300,B E ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO"
1301,B E ,Mechanical,MITCOE,"CAD,CAM"
1302,B E ,Mechanical,MITCOE,"ProE,CATIA"
1303,B E ,Mechanical,MITCOE,"ProE,CATIA"
1304,B E ,Mechanical,MITCOE,"ProE,CATIA"
1305,B E ,Mechanical,MITAOE,"AutoCAD, PROE"
1306,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1307,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1308,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1309,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1310,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
1311,B E ,Mechanical,MITCOE,"AutoCAD, PROE"
