sr_,degree_1,campus,key_skills,key_skills_str,degree_1_specializations_Civil Engineering,degree_1_specializations_Computer Science Engineering,degree_1_specializations_Electronics  Telecommunication Engineering,degree_1_specializations_Mechanical
1001,0,3,['CATIA'],CATIA,False,False,False,True
1002,0,3,['CATIA'],CATIA,False,False,False,True
1003,0,2,['CATIA'],CATIA,False,False,False,True
1004,0,3,['CATIA'],CATIA,False,False,False,True
1005,0,3,['CATIA'],CATIA,False,False,False,True
1006,0,3,['CATIA'],CATIA,False,False,False,True
1007,0,2,['CATIA'],CATIA,False,False,False,True
1008,0,3,['CATIA'],CATIA,False,False,False,True
1009,0,3,['CATIA'],CATIA,False,False,False,True
1010,0,3,['CATIA'],CATIA,False,False,False,True
1011,0,2,['CATIA'],CATIA,False,False,False,True
1012,0,2,['AUTOCAD'],AUTOCAD,False,False,False,True
1013,0,2,"['CAD,CAM']","CAD,CAM",False,False,False,True
1014,0,2,['AUTOCAD'],AUTOCAD,False,False,False,True
1015,0,2,['AUTOCAD'],AUTOCAD,False,False,False,True
1016,0,2,"['CAD,CAM']","CAD,CAM",False,False,False,True
1017,0,2,['AUTOCAD'],AUTOCAD,False,False,False,True
1018,0,3,['AUTOCAD'],AUTOCAD,False,False,False,True
1019,0,3,['AUTOCAD'],AUTOCAD,False,False,False,True
1020,0,3,"['CAD,CAM']","CAD,CAM",False,False,False,True
1021,0,2,['CATIA'],CATIA,False,False,False,True
1022,0,3,['CATIA'],CATIA,False,False,False,True
1023,0,2,"['CAD,CAM']","CAD,CAM",False,False,False,True
1024,0,3,"['CAD,CAM']","CAD,CAM",False,False,False,True
1025,0,2,"['CAD,CAM']","CAD,CAM",False,False,False,True
1026,0,3,['AUTOCAD'],AUTOCAD,False,False,False,True
1027,0,3,"['ProE,CATIA']","ProE,CATIA",False,False,False,True
1028,0,3,"['ProE,CATIA']","ProE,CATIA",False,False,False,True
1029,0,3,"['ProE,CATIA']","ProE,CATIA",False,False,False,True
1030,0,3,"['ProE,CATIA']","ProE,CATIA",False,False,False,True
1031,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1032,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1033,0,2,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1034,0,2,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1035,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1036,0,3,['AUTOCAD'],AUTOCAD,False,False,False,True
1037,0,3,"['ProE,CATIA']","ProE,CATIA",False,False,False,True
1038,0,2,"['ProE,CATIA']","ProE,CATIA",False,False,False,True
1039,0,2,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1040,0,2,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1041,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1042,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1043,0,2,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1044,0,2,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1045,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1046,0,2,['CATIA'],CATIA,False,False,False,True
1047,0,3,['CATIA'],CATIA,False,False,False,True
1048,0,3,['AUTOCAD'],AUTOCAD,False,False,False,True
1049,0,3,['AUTOCAD'],AUTOCAD,False,False,False,True
1050,0,3,['AUTOCAD'],AUTOCAD,False,False,False,True
1051,0,3,['CATIA'],CATIA,False,False,False,True
1052,0,3,['CATIA'],CATIA,False,False,False,True
1053,0,2,['CATIA'],CATIA,False,False,False,True
1054,0,2,"['CAD,CAM']","CAD,CAM",False,False,False,True
1055,0,2,"['CAD,CAM']","CAD,CAM",False,False,False,True
1056,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1057,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1058,0,3,"['SOLIDWORKS, AUTOCAD, CREO']","SOLIDWORKS, AUTOCAD, CREO",False,False,False,True
1059,0,3,"['SOLIDWORKS, AUTOCAD, CREO']","SOLIDWORKS, AUTOCAD, CREO",False,False,False,True
1060,0,3,"['SOLIDWORKS, AUTOCAD, CREO']","SOLIDWORKS, AUTOCAD, CREO",False,False,False,True
1061,0,2,"['CAD,CAM']","CAD,CAM",False,False,False,True
1062,0,2,"['CAD,CAM']","CAD,CAM",False,False,False,True
1063,0,3,"['CAD,CAM']","CAD,CAM",False,False,False,True
1064,0,3,['AUTOCAD'],AUTOCAD,False,False,False,True
1065,0,3,"['CAD,CAM']","CAD,CAM",False,False,False,True
1066,0,3,['AUTOCAD'],AUTOCAD,False,False,False,True
1067,0,3,"['ProE,CATIA']","ProE,CATIA",False,False,False,True
1068,0,3,"['ProE,CATIA']","ProE,CATIA",False,False,False,True
1069,0,3,"['ProE,CATIA']","ProE,CATIA",False,False,False,True
1070,0,2,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1071,0,2,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1072,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1073,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1074,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1075,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1076,0,2,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1077,0,2,"['SOLIDWORKS, AUTOCAD, CREO']","SOLIDWORKS, AUTOCAD, CREO",False,False,False,True
1078,0,3,"['SOLIDWORKS, AUTOCAD, CREO']","SOLIDWORKS, AUTOCAD, CREO",False,False,False,True
1079,0,2,"['SOLIDWORKS, AUTOCAD, CREO']","SOLIDWORKS, AUTOCAD, CREO",False,False,False,True
1080,0,3,"['MSCIT, Leadership, AUTOCAD']","MSCIT, Leadership, AUTOCAD",True,False,False,False
1081,0,2,"['SOLIDWORKS, AUTOCAD, CREO']","SOLIDWORKS, AUTOCAD, CREO",False,False,False,True
1082,0,3,"['MSCIT, Leadership, AUTOCAD']","MSCIT, Leadership, AUTOCAD",True,False,False,False
1083,0,3,"['MSCIT, Leadership, AUTOCAD']","MSCIT, Leadership, AUTOCAD",True,False,False,False
1084,0,2,"['C,JAVA']","C,JAVA",False,False,True,False
1085,0,2,"['C,JAVA']","C,JAVA",False,False,True,False
1086,0,3,['AUTOCAD'],AUTOCAD,False,False,False,True
1087,0,3,['AUTOCAD'],AUTOCAD,False,False,False,True
1088,0,2,"['ProE,CATIA']","ProE,CATIA",False,False,False,True
1089,0,3,"['ProE,CATIA']","ProE,CATIA",False,False,False,True
1090,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1091,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1092,0,2,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1093,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1094,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1095,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1096,0,3,"['MSCIT, Leadership, AUTOCAD']","MSCIT, Leadership, AUTOCAD",True,False,False,False
1097,0,3,"['MSCIT, Leadership, AUTOCAD']","MSCIT, Leadership, AUTOCAD",True,False,False,False
1098,0,3,"['MSCIT, Leadership, AUTOCAD']","MSCIT, Leadership, AUTOCAD",True,False,False,False
1099,0,3,"['MSCIT, Leadership, AUTOCAD']","MSCIT, Leadership, AUTOCAD",True,False,False,False
1100,0,3,"['C,JAVA']","C,JAVA",False,False,True,False
1101,0,3,"['C,JAVA']","C,JAVA",False,False,True,False
1102,0,1,"['C,JAVA']","C,JAVA",False,False,True,False
1103,0,1,"['C,JAVA']","C,JAVA",False,False,True,False
1104,0,1,"['C,JAVA']","C,JAVA",False,False,True,False
1105,1,0,"['C,JAVA']","C,JAVA",False,False,True,False
1106,0,2,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1107,0,2,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1108,0,3,"['AutoCAD, PROE']","AutoCAD, PROE",False,False,False,True
1109,0,3,"['SOLIDWORKS, AUTOCAD, CREO']","SOLIDWORKS, AUTOCAD, CREO",False,False,False,True
