Course Code,Degree,Degree Specializations,Campus,Key Skills,filter,success_rate
1895,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",content-based,76.67
1648,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",content-based,76.67
1186,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",content-based,76.67
1185,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",content-based,76.67
1183,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",content-based,76.67
2383,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",collaborative,76.67
2154,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",collaborative,76.67
2115,B.E. ,Electronics  Telecommunication Engineering,"MIT,Pune","C,JAVA",collaborative,50.0
2216,B.E. ,Electronics  Telecommunication Engineering,MITAOE,"EmbeddedC, MATLAB, C ",collaborative,16.67
2174,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"EmbeddedC, MATLAB, C ",collaborative,16.67
