Course Code,Degree,Degree Specializations,Campus,Key Skills,filter,success_rate
1220,B.E. ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",content-based,11.54
1221,B.E. ,Electronics  Telecommunication Engineering,MITAOE,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",content-based,11.54
1731,B.E. ,Electronics  Telecommunication Engineering,MITAOE,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",content-based,11.54
1759,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",content-based,11.54
1988,B.E. ,Electronics  Telecommunication Engineering,MITAOE,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",content-based,11.54
1981,B.E. ,Electronics  Telecommunication Engineering,MITAOE,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",content-based,11.54
2002,B.E. ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",content-based,11.54
1741,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",content-based,11.54
1735,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",content-based,11.54
1224,B.E. ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",content-based,11.54
